02ddd0c4-f27a-4954-ba53-94aadec0f0df => [-] 
fd9e3cc3-9053-4410-97f1-df1f7dcb878c => [-] 
f9e7a2f1-e658-47f5-b005-a6eef4b6c11e => [-] 
dd91067c-b553-4fd2-8cb3-ef9c82c1e1f0 => [日鞠] 所以为了避免连门都进不去然后从75000米的高度坠下……我们得借助sensei的力量呢……                                         
fd92a04c-caef-45aa-ab64-342c99f5e4d6 => [琳] 是的，我们得避免这样的情况…………                    
35d6f0a8-713d-4c5f-bbae-f1eea94b6127 => [琳] 如果是和乌塔那匹兹姆一样同为古代遗物——什亭之匣的话……说不定会有其他办法……                                           
3c378835-4a81-4aec-9a90-34d6774afbc6 => [阿罗娜] 没关系的sensei，我会尽全力的……                         
0312b9f2-9cb3-4388-b86d-b13c596eba4c => [日鞠] 如果可以成功进入方舟内部的话，我们就尝试对主要的设施进行骇入，彻底破坏方舟……                                 
efe92cc5-2c7e-4bea-a05b-908fe42cfe8f => [琳] 同时，大概率，我们可能会遭遇激烈的抵抗……                                     
6c0949fb-60a6-469d-aa5c-71bb339ba21a => [佳代子] 这个时候就会派我们去送了对吧…………                                 
02f29bf5-9366-417a-a1bb-e61ec0e12433 => [亞子] 虽然很不好听，但是确实是这样……                            
74759a0e-1425-4002-ba6b-d2f02031e1e0 => [琳] 在防御方舟攻击的同时，一点一点占领方舟各个区域，最终夺得方舟控制权……这就是这次作战的目标。                                          
10cf171a-d0d5-430d-a24c-12c9918d76d9 => [小型AMAS] 嗯……骇入并夺取方舟——这就是我们胜利的条件                                 
4f1050f6-1cfe-43ea-ae00-ebade5b8306e => [花子] 这种奇奇怪怪的计划，还有这神秘的机器人，让我也兴奋起来了呢……                                            
acd89c8a-aa46-4b24-8001-d2989f079850 => [亞子] 对了，这个小型机器人是………………？                                 
9ddfcc2f-ae3e-4430-a95d-c0a4a7cab231 => [小型AMAS] ……………………                         
e04bff43-c09d-4805-b0f6-aa65b2809b64 => [優香] ……………………                   
1fa73fef-ff17-40df-a660-0ba99f97b2b8 => [優香] 莉音会长……？                 
7b766ab7-4004-4c46-b97c-019037a70a6c => [小型AMAS] ………………………                     
e59130a1-c70e-42ce-8711-1bf2a88b776c => [優香] 会长你到底在这里干什么啊…………千年还有一堆的事情等着处理呢，上次的预算问题你也没说………老是呆在那座城市里面也不出来………                                              
21871b0c-f0e2-4de6-8083-15745ed3d998 => [優香] 再这样下去会变成家里蹲的……！！！！                          
94d7ab17-5624-4212-ae73-9c22bd525a32 => [莉央] 我上次不是把我的预算结清了么…………                    
44bff429-220c-4a96-b39c-5c6ba5d92b32 => [優香] 别以为拿出个几万块钱的发票就可以打发过去…………                                 
7859acbb-59f6-4512-990a-7ea6f54f656e => [莉央] ……………………
916f7307-230d-4811-af5e-fc6e09ee2b96 => [日鞠] 一下子就被发现了呢……                         
71c8c0a7-7637-4dbf-9da2-7544d1cc61c4 => [-] 
f623c03d-1a2a-46e9-9549-e229e252b71b => [琳] 我们大概……还剩下多少时间…………？                       
5461cf22-e4db-4328-89ec-50923d51cb0b => [日鞠] 根据爱丽丝的状况来看的话，应该还有16小时……                                 
7e0ec7fe-4f53-486e-ad83-25e4b4d27825 => [日鞠] 如果明早马上出发的话，应该能有8小时可以给我们……
e428e054-ebe4-4603-9cb5-c38980618db7 => [桃香] 啊，干完刚好下班呢……                        
ff3a69cd-c952-4f62-ba53-de7d565328ff => [步] 不只是下班吧……如果8小时还没搞定恐怕就…………                                     
4154914e-21e3-4d27-9397-a27a13e65fb8 => [琳] 那么，这次成功的概率有多少……？                   
7c80da1e-09bf-4b4e-b5a7-e091a2f12c75 => [日鞠] 经过多次模拟。成功的概率为————                        
0ee532cb-d593-4417-a368-284af341f735 => [日鞠] 竟然，有3%………………                     
c4b76743-d550-4b94-a50b-2aa5b818f495 => [-] 
10f18984-94a6-416e-a0f5-e9d07346da6a => [桃香] 百……百分之三………………？                     
933ead79-ee42-441e-9680-303dc8792291 => [花子] 只能祈祷那奇迹般的概率能站在我们这边了……                            
32926921-7a4f-46f5-8473-c713c644778f => [琳] 别忘了我们是为什么来到这里……！！                                   
becac6f4-000f-498f-b09d-ea440631fbf6 => [琳] 即使成功率只有百分之三也没关系……我们只需要和之前一样执行作战计划就可以了……                                       
6bfd0019-01b6-40f7-bed5-53259497dead => [琳] 各位，都准备一下，我们明早就出发出发                                 
d7a264e5-1f89-40ff-8f79-6b94308d001a => [桃香] 你认真的……？                   
5dc09cc6-d2e9-49af-b910-5614475a835c => [桃香] 领航员再怎么说也得十个人啊……                                 
014abd80-834f-4c0f-b8fb-6da251ff19f0 => [琳] 那么，我也来辅佐sensei吧……                          
f5cda255-22cc-4a6f-a42b-d1767e23da90 => [琳] 毕竟已经到了这里，就让我也一起走到最后吧。我可不忍心，只让sensei独自承担最危险的部分。                                            
0b5695f6-61de-4eb9-bff0-306af192bb44 => [優香] 嘛……既然sensei都这么说了……我也不能被抛下，算我一个吧……                                 
27f44f01-8466-4072-bd48-f76363d80ad9 => [步] 只是记住指南的话，我……我也……                        
b4c4954c-c440-4eb1-aa53-95443e686fea => [花子] 那我也一起，是哦，我也很擅长记东西呢……各种东西都……                                     
544a9cf2-8e02-4c5a-b6e3-439f104d210e => [亞子] 没关系，我来就是为了辅佐sensei呢……                         
b676a9a2-df32-4221-91d4-3fa364770831 => [綾音] 请……请也让我一起吧……我也想为sensei出一份力……                               
05f4b943-1456-492a-9547-f014ae3f850d => [綾音] 更重要的是，为了白子前辈……                       
b6151468-8c12-49e1-8078-0786823c2ee3 => [佳代子] 好麻烦，但是，就这样回去什么的，我可做不到……我也会加入……                                      
37cb3fe4-14f8-431e-bf51-9178e848a938 => [桃香] 呜哇，看起来大家都干劲十足呢……那么我就可以摸…………                               
3e1df7a7-e73c-4888-959b-778286aac956 => [步] 以前……你明明说过「就算是宇宙的尽头我也会跟着一起去」来着……                                      
657e44c8-7840-4dc0-a105-b1ec95537e34 => [桃香] 呜哇啊啊啊……别露出那种表情啊，梦前辈……！？                                    
e6fc0384-823e-4871-a123-da697edd2527 => [桃香] 我会加入的……嘛，总有办法的……                               
70bccddf-0003-4c5b-b1d0-7679f90629ea => [-] 
111712bb-b58f-4e03-83fc-0c2425892a3c => [花子] 宇宙战舰的乘务员呢……话说回来，有制服吗……？
4ef39b50-58fd-4154-a425-c7e2a7f553c3 => [響] 对哦，说起来，宇宙战舰诶……？怎么能没有制服呢……？                                         
7ef77baa-b65b-47e7-9513-67c434bed847 => [詠葉] 什么……？响，你居然还有时间做制服吗……？                                     
